"","OBJECTID","Value","Count","OBJECTID_1","Realm_WE_ID","WE_ID","Realm_ID","Realm_Class","World_Landform_Class","World_Moisture_Class","World_Temperature_Class","World_Landcover_Class","Realm_ClassName","LF_ClassName","LC_ClassName","Temp_ClassName","Moisture_ClassName","Temp_MoistureClassName","World_Ecosystem","Realm_World_Ecosystem","Landcover_Type"
"801",801,5159,3897292,957,5159,159,5000,5,4,3,3,4,"Nearctic","Plains","Grassland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Grassland on Plains","Nearctic Warm Temperate Moist Grassland on Plains","Natural"
"802",802,5160,7334688,153,5160,160,5000,5,4,3,3,1,"Nearctic","Plains","Cropland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Cropland on Plains","Nearctic Warm Temperate Moist Cropland on Plains","Converted"
"803",803,5161,489816,159,5161,161,5000,5,4,3,3,5,"Nearctic","Plains","Settlement","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Settlement on Plains","Nearctic Warm Temperate Moist Settlement on Plains","Converted"
"804",804,5162,19674,964,5162,162,5000,5,4,3,3,6,"Nearctic","Plains","Sparsley or Non vegetated","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Sparsley or Non vegetated on Plains","Nearctic Warm Temperate Moist Sparsley or Non vegetated on Plains","Natural"
"805",805,5163,4844441,971,5163,163,5000,5,2,3,3,3,"Nearctic","Hills","Forest","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Forest on Hills","Nearctic Warm Temperate Moist Forest on Hills","Natural"
"806",806,5164,2858104,978,5164,164,5000,5,2,3,3,4,"Nearctic","Hills","Grassland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Grassland on Hills","Nearctic Warm Temperate Moist Grassland on Hills","Natural"
"807",807,5165,64724,985,5165,165,5000,5,2,3,3,2,"Nearctic","Hills","Shrubland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Shrubland on Hills","Nearctic Warm Temperate Moist Shrubland on Hills","Natural"
"808",808,5166,6264360,992,5166,166,5000,5,4,3,3,3,"Nearctic","Plains","Forest","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Forest on Plains","Nearctic Warm Temperate Moist Forest on Plains","Natural"
"809",809,5167,192845,999,5167,167,5000,5,4,3,3,2,"Nearctic","Plains","Shrubland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Shrubland on Plains","Nearctic Warm Temperate Moist Shrubland on Plains","Natural"
"810",810,5168,1278259,165,5168,168,5000,5,2,3,3,1,"Nearctic","Hills","Cropland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Cropland on Hills","Nearctic Warm Temperate Moist Cropland on Hills","Converted"
"811",811,5169,359997,171,5169,169,5000,5,2,3,3,5,"Nearctic","Hills","Settlement","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Settlement on Hills","Nearctic Warm Temperate Moist Settlement on Hills","Converted"
"812",812,5170,13644,1006,5170,170,5000,5,2,3,3,6,"Nearctic","Hills","Sparsley or Non vegetated","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Sparsley or Non vegetated on Hills","Nearctic Warm Temperate Moist Sparsley or Non vegetated on Hills","Natural"
"813",813,5171,687591,1013,5171,171,5000,5,1,3,3,4,"Nearctic","Mountains","Grassland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Grassland on Mountains","Nearctic Warm Temperate Moist Grassland on Mountains","Natural"
"814",814,5172,58713,177,5172,172,5000,5,1,3,3,5,"Nearctic","Mountains","Settlement","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Settlement on Mountains","Nearctic Warm Temperate Moist Settlement on Mountains","Converted"
"815",815,5173,311966,184,5173,173,5000,5,1,3,3,1,"Nearctic","Mountains","Cropland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Cropland on Mountains","Nearctic Warm Temperate Moist Cropland on Mountains","Converted"
"816",816,5174,12127,1020,5174,174,5000,5,1,3,3,6,"Nearctic","Mountains","Sparsley or Non vegetated","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Sparsley or Non vegetated on Mountains","Nearctic Warm Temperate Moist Sparsley or Non vegetated on Mountains","Natural"
"817",817,5175,150192,1027,5175,175,5000,5,1,3,3,2,"Nearctic","Mountains","Shrubland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Shrubland on Mountains","Nearctic Warm Temperate Moist Shrubland on Mountains","Natural"
"818",818,5176,4028293,1034,5176,176,5000,5,1,3,3,3,"Nearctic","Mountains","Forest","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Forest on Mountains","Nearctic Warm Temperate Moist Forest on Mountains","Natural"
"819",819,5177,73648,191,5177,177,5000,5,3,3,3,5,"Nearctic","Tablelands","Settlement","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Settlement on Tablelands","Nearctic Warm Temperate Moist Settlement on Tablelands","Converted"
"820",820,5178,395305,197,5178,178,5000,5,3,3,3,1,"Nearctic","Tablelands","Cropland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Cropland on Tablelands","Nearctic Warm Temperate Moist Cropland on Tablelands","Converted"
"821",821,5179,764340,1041,5179,179,5000,5,3,3,3,4,"Nearctic","Tablelands","Grassland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Grassland on Tablelands","Nearctic Warm Temperate Moist Grassland on Tablelands","Natural"
"822",822,5180,2145014,1048,5180,180,5000,5,3,3,3,3,"Nearctic","Tablelands","Forest","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Forest on Tablelands","Nearctic Warm Temperate Moist Forest on Tablelands","Natural"
"823",823,5181,25131,1055,5181,181,5000,5,3,3,3,2,"Nearctic","Tablelands","Shrubland","Warm Temperate","Moist","Warm Temperate Moist","Warm Temperate Moist Shrubland on Tablelands","Nearctic Warm Temperate Moist Shrubland on Tablelands","Natural"
"825",825,5183,9431327,1069,5183,183,5000,5,1,2,3,2,"Nearctic","Mountains","Shrubland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Shrubland on Mountains","Nearctic Warm Temperate Dry Shrubland on Mountains","Natural"
"826",826,5184,902621,204,5184,184,5000,5,1,2,3,1,"Nearctic","Mountains","Cropland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Cropland on Mountains","Nearctic Warm Temperate Dry Cropland on Mountains","Converted"
"827",827,5185,196927,211,5185,185,5000,5,1,2,3,5,"Nearctic","Mountains","Settlement","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Settlement on Mountains","Nearctic Warm Temperate Dry Settlement on Mountains","Converted"
"828",828,5186,2445942,1076,5186,186,5000,5,1,2,3,4,"Nearctic","Mountains","Grassland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Grassland on Mountains","Nearctic Warm Temperate Dry Grassland on Mountains","Natural"
"829",829,5187,4523926,217,5187,187,5000,5,4,2,3,1,"Nearctic","Plains","Cropland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Cropland on Plains","Nearctic Warm Temperate Dry Cropland on Plains","Converted"
"830",830,5188,179012,223,5188,188,5000,5,4,2,3,5,"Nearctic","Plains","Settlement","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Settlement on Plains","Nearctic Warm Temperate Dry Settlement on Plains","Converted"
"831",831,5189,2630180,1083,5189,189,5000,5,4,2,3,4,"Nearctic","Plains","Grassland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Grassland on Plains","Nearctic Warm Temperate Dry Grassland on Plains","Natural"
"832",832,5190,1168641,229,5190,190,5000,5,2,2,3,1,"Nearctic","Hills","Cropland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Cropland on Hills","Nearctic Warm Temperate Dry Cropland on Hills","Converted"
"833",833,5191,57544,235,5191,191,5000,5,2,2,3,5,"Nearctic","Hills","Settlement","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Settlement on Hills","Nearctic Warm Temperate Dry Settlement on Hills","Converted"
"834",834,5192,2852689,1089,5192,192,5000,5,2,2,3,4,"Nearctic","Hills","Grassland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Grassland on Hills","Nearctic Warm Temperate Dry Grassland on Hills","Natural"
"835",835,5193,3184989,1095,5193,193,5000,5,2,2,3,2,"Nearctic","Hills","Shrubland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Shrubland on Hills","Nearctic Warm Temperate Dry Shrubland on Hills","Natural"
"836",836,5194,3278573,1101,5194,194,5000,5,1,2,3,3,"Nearctic","Mountains","Forest","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Forest on Mountains","Nearctic Warm Temperate Dry Forest on Mountains","Natural"
"837",837,5195,46297,1108,5195,195,5000,5,4,2,3,3,"Nearctic","Plains","Forest","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Forest on Plains","Nearctic Warm Temperate Dry Forest on Plains","Natural"
"838",838,5196,2430166,1114,5196,196,5000,5,4,2,3,2,"Nearctic","Plains","Shrubland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Shrubland on Plains","Nearctic Warm Temperate Dry Shrubland on Plains","Natural"
"839",839,5197,51619,1119,5197,197,5000,5,2,2,3,6,"Nearctic","Hills","Sparsley or Non vegetated","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Sparsley or Non vegetated on Hills","Nearctic Warm Temperate Dry Sparsley or Non vegetated on Hills","Natural"
"840",840,5198,191964,240,5198,198,5000,5,3,2,3,1,"Nearctic","Tablelands","Cropland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Cropland on Tablelands","Nearctic Warm Temperate Dry Cropland on Tablelands","Converted"
"841",841,5199,171200,1125,5199,199,5000,5,2,2,3,3,"Nearctic","Hills","Forest","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Forest on Hills","Nearctic Warm Temperate Dry Forest on Hills","Natural"
"842",842,5200,4800,245,5200,200,5000,5,3,2,3,5,"Nearctic","Tablelands","Settlement","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Settlement on Tablelands","Nearctic Warm Temperate Dry Settlement on Tablelands","Converted"
"843",843,5201,323829,1130,5201,201,5000,5,4,2,3,6,"Nearctic","Plains","Sparsley or Non vegetated","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Sparsley or Non vegetated on Plains","Nearctic Warm Temperate Dry Sparsley or Non vegetated on Plains","Natural"
"845",845,5203,1198076,1141,5203,203,5000,5,3,2,3,2,"Nearctic","Tablelands","Shrubland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Shrubland on Tablelands","Nearctic Warm Temperate Dry Shrubland on Tablelands","Natural"
"846",846,5204,597914,1147,5204,204,5000,5,3,2,3,4,"Nearctic","Tablelands","Grassland","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Grassland on Tablelands","Nearctic Warm Temperate Dry Grassland on Tablelands","Natural"
"847",847,5205,214152,1153,5205,205,5000,5,1,2,3,6,"Nearctic","Mountains","Sparsley or Non vegetated","Warm Temperate","Dry","Warm Temperate Dry","Warm Temperate Dry Sparsley or Non vegetated on Mountains","Nearctic Warm Temperate Dry Sparsley or Non vegetated on Mountains","Natural"
