GEO_ID,NAME,Gini_Index_2010,Gini_Index_2019,Total_Population_2010,Total_Population_2019,Civilians_Employed_Over_16_2012,Civilians_Employed_Over16_2019,Number_Employed_NAICS11_Industry_2012,Number_Employed_NAICS11_Industry_2019,Number_Employed_NAICS71_Industry_2012,Number_Employed_NAICS71_Industry_2019,Population_Poverty_Status_Determined2012,Population_Poverty_Status_Determined2019,Percent_Population_Poverty_Status_Determined2012,Percent_Population_Poverty_Status_Determined2019,Number_Households_2012,Number_Households_2019,Median_Income_Households_2012,Median_Income_Households_2019,Population_18to24years_2012,Population_18to24years_2019,pct_less_than_highschool_graduate_2012,pct_less_than_highschool_graduate_2019,pct_highschool_graduate_equivalency_2012,pct_highschool_graduate_equivalency_2019,pct_some_college_associates_degree_2012,pct_some_college_associates_2019,pct_bachelors_degree_higher_2012,Population_25years_older_2012,Population_25years_older_2019,pct_highschool_graduate_or_higher_2012,pct_highschool_graduate_higher_2019,pct_bachelors_degree_or_higher_2012,pct_bachelors_degree_higher_2019,RetireTotal,RetirementIncome,NoRetirementIncome
0600000US4102792431,"Parkdale CCD, Hood River County, Oregon",0.337,0.3902,1478,2099,858,1018,284,451,20,26,1507,2047,4.2,20.4,492,567,60357,50368,87,281,2.3,44.1,2.3,18.9,95.4,37,0,1115,1375,83.2,74.9,19.8,25.2,567,130,437
0600000US4102990119,"Ashland CCD, Jackson County, Oregon",0.481,0.5132,30692,31304,13938,14411,275,389,1578,2501,29573,30400,17.4,17,13923,14499,40895,52913,3809,3579,9,6.7,22.1,26,63.3,61.5,5.7,21259,22668,95.2,95.3,47.5,53.3,14499,3606,10893
0600000US4102990408,"Butte Falls-Prospect CCD, Jackson County, Oregon",0.384,0.4967,2734,2556,1097,791,121,44,122,52,2645,2556,13.8,18.3,1058,1107,44911,45954,193,102,20.7,38.2,46.6,32.4,32.6,29.4,0,1964,2074,91,91.5,19.1,20.2,1107,347,760
0600000US4102990952,"Eagle Point CCD, Jackson County, Oregon",0.369,0.4217,9635,11504,4400,5085,31,367,233,332,9946,11504,11.5,8.9,3561,4434,59383,72361,814,553,15.4,0,45.6,42.7,39.1,51.2,0,6685,8222,89.9,92.2,12.6,19.1,4434,931,3503
0600000US4102991836,"Medford CCD, Jackson County, Oregon",0.438,0.4572,124502,139520,54340,62528,1516,1910,5883,7170,126749,138108,17.2,16.4,51039,54745,43208,51786,10859,10779,22.1,22.8,38.6,38.6,36,34.5,3.2,86755,96969,87.8,88.4,21,23.1,54745,11047,43698
0600000US4102992278,"Northwest Jackson CCD, Jackson County, Oregon",0.434,0.4664,7979,7719,2965,2944,146,122,170,222,7815,7714,14.1,12.8,3289,3227,42014,53037,449,581,28.3,10.8,51.7,34.8,20,49.2,0,5991,6022,88.7,94.4,13,20.5,3227,1112,2115
0600000US4102992771,"Sams Valley CCD, Jackson County, Oregon",0.401,0.4629,4879,4606,2009,1928,139,93,123,108,4338,4603,11.3,10.6,1843,1878,50607,56883,269,250,33.8,5.6,26.4,46.8,11.5,44,28.3,3374,3613,91.5,89,15.2,21.4,1878,488,1390
0600000US4102992873,"Shady Cove CCD, Jackson County, Oregon",0.392,0.4451,6695,7358,2553,2785,53,143,374,127,6496,7327,16.2,11.8,2893,3174,37453,52064,218,456,18.3,26.8,53.7,39.7,23.4,33.6,4.6,5290,5818,85.8,87.5,13.2,17.7,3174,739,2435
0600000US4102993026,"Southeast Jackson CCD, Jackson County, Oregon",0.468,0.4499,2101,1792,785,767,31,39,71,66,2118,1777,12.7,6.9,890,781,63750,85982,127,106,2.4,1.9,21.3,27.4,76.4,35.8,0,1665,1423,95.8,97.2,46.2,50.7,781,266,515
0600000US4102993094,"Southwest Jackson CCD, Jackson County, Oregon",0.451,0.4228,11370,10215,4606,4128,241,284,243,199,11473,10215,16.8,14.2,4874,4396,52703,62171,545,330,19.6,33.3,66.4,35.5,10.6,25.8,3.3,8910,8220,90.7,91.3,25.7,35.2,4396,1305,3091
0600000US4103190136,"Ashwood CCD, Jefferson County, Oregon",0.431,0.3939,1085,1466,218,287,117,40,3,27,473,605,18.2,12.2,215,213,29659,86250,142,73,47.2,12.3,43,30.1,9.9,57.5,0,900,1279,79.1,88.2,3.6,14.6,213,59,154
0600000US4103190782,"Culver CCD, Jefferson County, Oregon",0.418,0.3994,6962,7954,2708,3243,173,215,159,308,6928,7925,17.8,11,2889,3005,43288,57420,360,594,34.2,8.2,25.8,43.6,40,48.1,0,5081,5664,87.2,88.7,12.6,17.8,3005,1016,1989
0600000US4103191224,"Grandview CCD, Jefferson County, Oregon",0.363,0.3656,504,616,184,263,0,10,28,40,538,616,5.9,5.8,242,240,50611,70000,26,5,23.1,100,0,0,42.3,0,34.6,474,523,100,95,36.5,31.9,240,95,145
0600000US4103191751,"Madras CCD, Jefferson County, Oregon",0.433,0.4614,9896,10044,4038,4240,424,390,348,480,9863,9826,19.5,18.4,3848,3800,42698,46912,986,858,27.3,11.1,29.8,40.4,36,48.5,6.9,6240,6777,82.6,85.8,20.1,23.4,3800,840,2960
0600000US4103193383,"Warm Springs CCD, Jefferson County, Oregon",0.41,0.4551,3205,3527,1071,1003,29,61,149,197,3078,3462,24,35.6,811,836,48307,45000,372,322,37.9,29.2,25.5,55.9,30.9,14.9,5.6,1698,1954,75.3,83.7,8,9.5,836,116,720
0600000US4103390493,"Cave Junction CCD, Josephine County, Oregon",0.455,0.4605,7037,7085,2042,1893,107,64,155,162,6695,7068,33.9,31.5,2888,3291,24946,31194,251,330,31.9,43,39.8,23.3,28.3,33.6,0,5069,5724,81.7,88.3,12.6,13.9,3291,873,2418
0600000US4103391241,"Grants Pass CCD, Josephine County, Oregon",0.453,0.4504,59484,64036,22571,24787,411,630,2110,2776,58849,62862,18,16.3,25228,26567,36801,47656,4662,4576,20.4,18.4,40.5,37.3,35.6,42,3.5,42780,46319,88.5,90.7,15.9,17.7,26567,7036,19531
0600000US4103392295,"Northwest Josephine CCD, Josephine County, Oregon",0.437,0.419,7093,6959,2481,2732,91,59,119,133,7118,6946,19.1,20.5,2797,2946,42363,48427,508,345,31.3,0.3,21.3,35.9,37,60.6,10.4,5385,5383,92.1,91.3,13.8,16,2946,1024,1922
0600000US4103393485,"Wilderville CCD, Josephine County, Oregon",0.466,0.4224,5462,4845,1790,1527,170,119,144,88,5623,4795,23.9,16.1,2146,2170,41346,49040,417,204,26.9,13.2,21.8,24,51.3,62.7,0,4108,3921,87,87.8,23.8,17.1,2170,807,1363
