"AFFGEOID","long","lat","cluster","pvalue","realm","er_fraction","X1","X2","Civilians_Employed_Over_16_delta","Gini_Index_delta","Median_Income_Households_delta","Number_Employed_NAICS11_Industry_delta","Number_Employed_NAICS71_Industry_delta","Number_Households_delta","pct_bachelors_degree_higher_delta","pct_highschool_graduate_equivalency_delta","pct_highschool_graduate_or_higher_delta","pct_less_than_highschool_graduate_delta","pct_some_college_associates_degree_delta","Percent_Population_Poverty_Status_Determined_delta","Population_18to24years_delta","Population_25years_older_delta","Population_Poverty_Status_Determined_delta","Total_Population_delta","RetireTotal","RetirementIncome","NoRetirementIncome"
"0600000US4100992703",-122.929105154704,45.8653902593692,1,0.786999906321292,"Cool Temperate Moist Forest on Mountains",0.880365775525657,0.361031836623298,0.10103381956259,745,0.0508,6441,90,219,413,-0.900000000000002,5.1,0.900000000000006,-13.9,7.8,-2.3,-98,1649,1102,1051,9160,2443,6717
"0600000US4100992805",-122.879530473797,45.7655275868207,2,0.910409593235915,"Cool Temperate Moist Forest on Mountains",0.657549126098548,-0.744941246910464,0.320420664145126,1156,0.0547,24596,109,164,159,7.2,3.4,4.5,13.9,-18.1,-6.6,-73,516,384,648,3910,869,3041
"0600000US4100993332",-123.207027822043,45.8804498676762,7,0.874347265309831,"Cool Temperate Moist Forest on Mountains",0.896156713888701,0.188907085139896,-0.28731664940305,-211,-0.0109,6880,-97,-35,-67,1.7,-17.7,1.8,-12.5,39.8,0.8,-61,-33,-174,-430,1333,372,961
"0600000US4101190221",-124.366429469947,43.0330146836925,6,0.370978982373758,"Cool Temperate Moist Forest on Mountains",0.595952607454813,-0.316336966271596,-0.505349446402349,-233,0.0166,-836,-211,238,-84,-0.600000000000001,-10.4,-1,-50.5,54,1.8,464,45,727,656,3043,928,2115
"0600000US4101190629",-124.296239908858,43.3233785364882,8,0.686490799075927,"Cool Temperate Moist Forest on Mountains",0.3254617014835,0.433483803686966,0.0771567201914011,1206,0.0214,10512,148,91,318,1.4,-1.8,0,-1.2,-2.2,-2.5,-603,1001,34,624,13170,3710,9460
"0600000US4101190646",-124.218745953282,43.1914815986307,6,0.427195477368944,"Cool Temperate Moist Forest on Mountains",0.205552589428724,-0.274393088398368,-0.434432712334,-306,0.00680000000000003,-93,-52,-52,171,-4.3,-11.6,5.59999999999999,-8.7,20.8,1.4,-268,-105,-357,-138,3403,1166,2237
"0600000US4101191003",-123.971967744231,43.3849525864943,10,0.639605011969875,"Cool Temperate Moist Forest on Mountains",0.852097902097902,-0.42566745284738,0.347461522478703,347,-0.0507,17385,208,-91,-73,2.6,-16.6,-0.5,25.3,-0.599999999999998,-6.9,108,29,133,-81,2384,831,1553
"0600000US4101192074",-123.974501955781,43.0905432853936,7,0.814691346416485,"Cool Temperate Moist Forest on Mountains",0.958699946130364,0.0570394171645905,-0.234456699922288,-174,0.0374,8340,-16,52,40,-1.4,-7.7,5.40000000000001,7.8,-1.3,-4.5,-22,264,195,-144,2006,499,1507
"0600000US4101192159",-124.134480288095,43.5268735261175,6,0.436057364483571,"Cool Temperate Moist Forest on Mountains",0.954986057628469,-0.22864944479868,-0.430580023581045,-361,-0.0301,557,127,-109,1,-3,-24.2,1.2,31.1,-6.8,3.8,-70,31,122,-885,2489,834,1655
"0600000US4101192567",-124.007196907035,42.8404218073795,6,0.905584185115306,"Cool Temperate Moist Forest on Mountains",0.300625711035267,0.270002157357322,-0.156410220627297,53,0.0935,-5178,-11,9,85,1.9,-37.3,-4.40000000000001,-10.9,48.2,15.6,-111,131,151,335,530,151,379
